0.01,7.722e-6
0.02,0.001
0.03,0.012
0.04,0.045
0.05,0.096
0.06,0.16
0.07,0.235
0.08,0.32
0.09,0.413
0.1,0.512
0.11,0.615
0.12,0.723
0.129,0.83
0.138,0.942
0.145,1.053
0.15,1.122
0.157,1.234
0.167,1.414
0.18,1.65
0.199,2.044
0.21,2.29
0.227,2.688
0.24,3.037
0.26,3.616
0.27,3.928
0.285,4.425
0.3,4.965
0.323,5.857
0.33,6.164
0.341,6.642
0.36,7.515
0.39,9.024
0.42,10.699
0.45,12.551
0.48,14.576
0.51,16.799
0.54,19.227
0.57,21.862
0.6,24.715
0.63,27.805
0.66,31.131
0.69,34.704
0.72,38.529
0.75,42.617
0.78,46.977
0.81,51.615
0.84,56.534
0.87,61.741
0.9,67.237
0.93,73.03
0.96,79.113
0.99,85.492
1.02,92.184
1.05,99.204
1.08,106.567
1.11,114.294
1.14,122.399
1.17,130.881
1.2,139.73
1.23,148.935
1.26,158.491
1.29,168.4
1.32,178.688
1.35,189.372
1.38,200.459
1.41,211.984
1.44,223.929
1.47,236.272
1.5,248.995
1.53,262.095
1.56,275.597
1.59,289.553
1.62,303.981
1.65,318.853
1.68,334.137
1.71,349.809
1.74,365.909
1.77,382.513
1.8,399.626
1.83,417.207
1.86,435.241
1.89,453.786
1.92,472.921
1.95,492.676
1.98,513.055
2.01,534.097
2.04,555.938
2.07,578.721
2.1,602.565
2.13,623.918
2.16,641.722
2.19,659.485
2.22,677.074
2.25,694.448























































































































































































































































































































































































































































































































































































